## table=wn_node
table,node_id,node_id_flag,alt_customer_points,alt_demand_by_category,alt_land_use,customer_points,demand_by_category,land_use,landuse_areas,notes,area,area_flag,isolation_area,isolation_area_flag,asset_id,asset_id_flag,x,x_flag,y,y_flag,z,z_flag,ground_level,ground_level_flag,highest_property,highest_property_flag,leakage_loss,leakage_loss_flag,nominal_average_pressure,nominal_average_pressure_flag,alt_total_connections,total_connections,total_connections_flag,system_type,system_type_flag,fire_zone,fire_zone_flag,asset_uid,asset_uid_flag,asset_network_uid,user_number_1,user_number_1_flag,user_number_2,user_number_2_flag,user_number_3,user_number_3_flag,user_number_4,user_number_4_flag,user_number_5,user_number_5_flag,user_number_6,user_number_6_flag,user_number_7,user_number_7_flag,user_number_8,user_number_8_flag,user_number_9,user_number_9_flag,user_number_10,user_number_10_flag,user_number_11,user_number_11_flag,user_number_12,user_number_12_flag,user_number_13,user_number_13_flag,user_number_14,user_number_14_flag,user_number_15,user_number_15_flag,hotlinks,user_text_1,user_text_1_flag,user_text_2,user_text_2_flag,user_text_3,user_text_3_flag,user_text_4,user_text_4_flag,user_text_5,user_text_5_flag,user_text_6,user_text_6_flag,user_text_7,user_text_7_flag,user_text_8,user_text_8_flag,user_text_9,user_text_9_flag,user_text_10,user_text_10_flag,user_text_11,user_text_11_flag,user_text_12,user_text_12_flag,user_text_13,user_text_13_flag,user_text_14,user_text_14_flag,user_text_15,user_text_15_flag
wn_node,10,#I,#<WSStructure:0x000217dc256390>,#<WSStructure:0x000217dc256200>,#<WSStructure:0x000217dc256098>,#<WSStructure:0x000217dc255f30>,#<WSStructure:0x000217dc255dc8>,#<WSStructure:0x000217dc255c60>,#<WSStructure:0x000217dc255af8>,,,,,,10,#I,2.743200000010973,#I,8.488680000033956,#I,44.805600000179226,#I,44.805600000179226,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,101,#I,#<WSStructure:0x000217dc25d9d8>,#<WSStructure:0x000217dc25d870>,#<WSStructure:0x000217dc25d708>,#<WSStructure:0x000217dc25d5a0>,#<WSStructure:0x000217dc25d438>,#<WSStructure:0x000217dc25d2d0>,#<WSStructure:0x000217dc25d168>,,,,,,101,#I,4.209288000016837,#I,6.992112000027969,#I,12.801600000051206,#I,12.801600000051206,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,103,#I,#<WSStructure:0x000217dc264f08>,#<WSStructure:0x000217dc264da0>,#<WSStructure:0x000217dc264c38>,#<WSStructure:0x000217dc264ad0>,#<WSStructure:0x000217dc264968>,#<WSStructure:0x000217dc264800>,#<WSStructure:0x000217dc264698>,,,,,,103,#I,3.950208000015801,#I,6.4952880000259805,#I,13.106400000052426,#I,13.106400000052426,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,105,#I,#<WSStructure:0x000217dc26c5c8>,#<WSStructure:0x000217dc26c460>,#<WSStructure:0x000217dc26c2f8>,#<WSStructure:0x000217dc26c190>,#<WSStructure:0x000217dc26c028>,#<WSStructure:0x000217dc1bec48>,#<WSStructure:0x000217dc1be608>,,,,,,105,#I,5.17245600002069,#I,6.486144000025945,#I,8.686800000034747,#I,8.686800000034747,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,107,#I,#<WSStructure:0x000217dc19e010>,#<WSStructure:0x000217dc19cfd0>,#<WSStructure:0x000217dc19c990>,#<WSStructure:0x000217dc19c238>,#<WSStructure:0x000217dc27ff38>,#<WSStructure:0x000217dc27fdd0>,#<WSStructure:0x000217dc27fc68>,,,,,,107,#I,5.623560000022494,#I,6.236208000024945,#I,6.7056000000268225,#I,6.7056000000268225,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,109,#I,#<WSStructure:0x000217dc1953c0>,#<WSStructure:0x000217dc194c68>,#<WSStructure:0x000217dc1944e8>,#<WSStructure:0x000217dc195730>,#<WSStructure:0x000217dc287f58>,#<WSStructure:0x000217dc287df0>,#<WSStructure:0x000217dc287c88>,,,,,,109,#I,5.376672000021507,#I,5.766816000023068,#I,6.1874400000247505,#I,6.1874400000247505,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,111,#I,#<WSStructure:0x000217dc18d210>,#<WSStructure:0x000217dc18cb80>,#<WSStructure:0x000217dc18c978>,#<WSStructure:0x000217dc18c5b8>,#<WSStructure:0x000217dc18ce50>,#<WSStructure:0x000217dc28ff78>,#<WSStructure:0x000217dc28fe10>,,,,,,111,#I,6.16000800002464,#I,5.343144000021373,#I,3.048000000012192,#I,3.048000000012192,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,113,#I,#<WSStructure:0x000217dc185858>,#<WSStructure:0x000217dc185600>,#<WSStructure:0x000217dc185060>,#<WSStructure:0x000217dc184c00>,#<WSStructure:0x000217dc184728>,#<WSStructure:0x000217dc184520>,#<WSStructure:0x000217dc184318>,,,,,,113,#I,6.717792000026871,#I,5.062728000020251,#I,0.6096000000024384,#I,0.6096000000024384,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,115,#I,#<WSStructure:0x000217dc16f508>,#<WSStructure:0x000217dc16f328>,#<WSStructure:0x000217dc16f170>,#<WSStructure:0x000217dc16eea0>,#<WSStructure:0x000217dc16ecc0>,#<WSStructure:0x000217dc16ea18>,#<WSStructure:0x000217dc16e770>,,,,,,115,#I,6.3947040000255795,#I,5.846064000023384,#I,4.267200000017069,#I,4.267200000017069,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,117,#I,#<WSStructure:0x000217dc29c750>,#<WSStructure:0x000217dc29c5e8>,#<WSStructure:0x000217dc29c480>,#<WSStructure:0x000217dc29c318>,#<WSStructure:0x000217dc29c1b0>,#<WSStructure:0x000217dc29c048>,#<WSStructure:0x000217dc167df8>,,,,,,117,#I,6.611112000026445,#I,6.486144000025945,#I,4.145280000016581,#I,4.145280000016581,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,119,#I,#<WSStructure:0x000217dc2a5ad0>,#<WSStructure:0x000217dc2a5968>,#<WSStructure:0x000217dc2a5800>,#<WSStructure:0x000217dc2a5698>,#<WSStructure:0x000217dc2a5530>,#<WSStructure:0x000217dc2a53c8>,#<WSStructure:0x000217dc2a5260>,,,,,,119,#I,7.223760000028895,#I,6.93724800002775,#I,0.6096000000024384,#I,0.6096000000024384,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,120,#I,#<WSStructure:0x000217dc2aef40>,#<WSStructure:0x000217dc2aedd8>,#<WSStructure:0x000217dc2aec70>,#<WSStructure:0x000217dc2aeb08>,#<WSStructure:0x000217dc2ae9a0>,#<WSStructure:0x000217dc2ae838>,#<WSStructure:0x000217dc2ae6d0>,,,,,,120,#I,6.72998400002692,#I,7.040880000028164,#I,0.0,#I,0.0,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,121,#I,#<WSStructure:0x000217dc2b7528>,#<WSStructure:0x000217dc2b73c0>,#<WSStructure:0x000217dc2b7258>,#<WSStructure:0x000217dc2b70f0>,#<WSStructure:0x000217dc2b6f88>,#<WSStructure:0x000217dc2b6e20>,#<WSStructure:0x000217dc2b6cb8>,,,,,,121,#I,7.1749920000287,#I,7.77240000003109,#I,-0.6096000000024384,#I,-0.6096000000024384,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,123,#I,#<WSStructure:0x000217dc2bfcf0>,#<WSStructure:0x000217dc2bfb88>,#<WSStructure:0x000217dc2bfa20>,#<WSStructure:0x000217dc2bf8b8>,#<WSStructure:0x000217dc2bf750>,#<WSStructure:0x000217dc2bf5e8>,#<WSStructure:0x000217dc2bf480>,,,,,,123,#I,7.123176000028494,#I,8.324088000033296,#I,3.3528000000134113,#I,3.3528000000134113,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_node,125,#I,#<WSStructure:0x000217dc1562b0>,#<WSStructure:0x000217dc156008>,#<WSStructure:0x000217dc155e78>,#<WSStructure:0x000217dc155c98>,#<WSStructure:0x000217dc155ae0>,#<WSStructure:0x000217dc155770>,#<WSStructure:0x000217dc154d70>,,,,,,125,#I,7.495032000029981,#I,7.815072000031261,#I,3.3528000000134113,#I,3.3528000000134113,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
