table,us_node_id,us_node_id_flag,ds_node_id,ds_node_id_flag,link_suffix,link_suffix_flag,alt_customer_points,bends,customer_points,notes,spatial_data,area,area_flag,isolation_area,isolation_area_flag,asset_id,asset_id_flag,local_loss,local_loss_flag,iwlive_can_be_closed,iwlive_can_be_closed_flag,length,length_flag,diameter,diameter_flag,roughness_type,roughness_type_flag,k,k_flag,darcy_weissbach,darcy_weissbach_flag,hazen_williams,hazen_williams_flag,modified_hazen_williams,modified_hazen_williams_flag,material,material_flag,construction_date,construction_date_flag,year,year_flag,bulk_coeff,bulk_coeff_flag,CO2cost,CO2cost_flag,wall_coeff,wall_coeff_flag,system_type,system_type_flag,criticality,criticality_flag,criticality_count,criticality_count_flag,wave_celerity,wave_celerity_flag,pressure_rating,pressure_rating_flag,asset_uid,asset_uid_flag,asset_network_uid,user_number_1,user_number_1_flag,user_number_2,user_number_2_flag,user_number_3,user_number_3_flag,user_number_4,user_number_4_flag,user_number_5,user_number_5_flag,user_number_6,user_number_6_flag,user_number_7,user_number_7_flag,user_number_8,user_number_8_flag,user_number_9,user_number_9_flag,user_number_10,user_number_10_flag,user_number_11,user_number_11_flag,user_number_12,user_number_12_flag,user_number_13,user_number_13_flag,user_number_14,user_number_14_flag,user_number_15,user_number_15_flag,hotlinks,user_text_1,user_text_1_flag,user_text_2,user_text_2_flag,user_text_3,user_text_3_flag,user_text_4,user_text_4_flag,user_text_5,user_text_5_flag,user_text_6,user_text_6_flag,user_text_7,user_text_7_flag,user_text_8,user_text_8_flag,user_text_9,user_text_9_flag,user_text_10,user_text_10_flag,user_text_11,user_text_11_flag,user_text_12,user_text_12_flag,user_text_13,user_text_13_flag,user_text_14,user_text_14_flag,user_text_15,user_text_15_flag
wn_pipe,3,#I,20,#I,1,#I,#<WSStructure:0x000217dc307f78>,[8.964168000035857; 8.311896000033247; 8.973312000035893; 8.20216800003281],#<WSStructure:0x000217dc307b90>,,#<WSStructure:0x000217dc307938>,,,,,20,#I,0.0,#I,false,,30.175199508666992,#I,2514.60009765625,#I,HW,#I,,,,,199.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,1,#I,40,#I,1,#I,#<WSStructure:0x000217dc2fdb68>,[8.36980800003348; 2.9992320000119967; 8.235696000032943; 2.9900880000119607],#<WSStructure:0x000217dc2fd7a8>,,#<WSStructure:0x000217dc2fd550>,,,,,40,#I,0.0,#I,false,,30.175199508666992,#I,2514.60009765625,#I,HW,#I,,,,,199.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,2,#I,50,#I,1,#I,#<WSStructure:0x000217dc2ef540>,[10.055352000040223; 1.0515600000042062; 10.061448000040246; 0.9174480000036698],#<WSStructure:0x000217dc2ef108>,,#<WSStructure:0x000217dc2eee88>,,,,,50,#I,0.0,#I,false,,30.175199508666992,#I,2514.60009765625,#I,HW,#I,,,,,199.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,RIVER,#I,60,#I,1,#I,#<WSStructure:0x000217dc2e4e88>,[7.360920000029443; 9.467088000037869; 7.2847200000291386; 9.125712000036504],#<WSStructure:0x000217dc2e4a50>,,#<WSStructure:0x000217dc2e47d0>,,,,,60,#I,0.0,#I,false,,375.20880126953125,#I,609.6000366210938,#I,HW,#I,,,,,140.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,10,#I,101,#I,1,#I,#<WSStructure:0x000217dc2d6838>,[2.743200000010973; 8.488680000033956; 4.209288000016837; 6.992112000027969],#<WSStructure:0x000217dc2d6400>,,#<WSStructure:0x000217dc2d6158>,,,,,101,#I,0.0,#I,false,,4328.16015625,#I,457.20001220703125,#I,HW,#I,,,,,110.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,101,#I,103,#I,1,#I,#<WSStructure:0x000217dc2cc180>,[4.209288000016837; 6.992112000027969; 3.950208000015801; 6.4952880000259805],#<WSStructure:0x000217dc2c7d88>,,#<WSStructure:0x000217dc2c7b30>,,,,,103,#I,0.0,#I,false,,411.4800109863281,#I,406.3999938964844,#I,HW,#I,,,,,130.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,101,#I,105,#I,1,#I,#<WSStructure:0x000217dc2bdbf8>,[4.209288000016837; 6.992112000027969; 5.17245600002069; 6.486144000025945],#<WSStructure:0x000217dc2bd838>,,#<WSStructure:0x000217dc2bd5e0>,,,,,105,#I,0.0,#I,false,,774.1920166015625,#I,304.8000183105469,#I,HW,#I,,,,,130.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,105,#I,107,#I,1,#I,#<WSStructure:0x000217dc2af6c0>,[5.17245600002069; 6.486144000025945; 5.623560000022494; 6.236208000024945],#<WSStructure:0x000217dc2af288>,,#<WSStructure:0x000217dc2aefe0>,,,,,107,#I,0.0,#I,false,,448.0559997558594,#I,304.8000183105469,#I,HW,#I,,,,,130.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,103,#I,109,#I,1,#I,#<WSStructure:0x000217dc2a4f90>,[3.950208000015801; 6.4952880000259805; 5.376672000021507; 5.766816000023068],#<WSStructure:0x000217dc2a4bd0>,,#<WSStructure:0x000217dc2a4978>,,,,,109,#I,0.0,#I,false,,1200.9119873046875,#I,406.3999938964844,#I,HW,#I,,,,,130.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wn_pipe,109,#I,111,#I,1,#I,#<WSStructure:0x000217dc296918>,[5.376672000021507; 5.766816000023068; 6.16000800002464; 5.343144000021373],#<WSStructure:0x000217dc296558>,,#<WSStructure:0x000217dc296300>,,,,,111,#I,0.0,#I,false,,609.5999755859375,#I,304.8000183105469,#I,HW,#I,,,,,130.0,#I,,,,,,,,,0.0,#I,,,0.0,#I,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
